Density, %GOP
11.793734,66.3271
7.3326755,52.527218
14.072136,41.587902
3.0539236,53.71569
1.8137326,40.500717
0.28949067,60.689655
1.6171209,45.985195
0.3310808,73.52941
265.73306,47.76319
0.30330423,85.157234
1.4727958,77.15031
11.683451,45.457508
7.3299084,37.56047
44.056103,47.30511
1.247494,48.614372
0.81804085,75.59091
4.75523,69.598816
16.907946,66.76094
0.31046483,54.17323
1.1230364,78.14458
4.831955,62.169
7.0892696,68.606834
8.353413,63.20681
5.733161,54.751934
3.1707394,47.26688
2.8411949,57.74472
2.507419,73.57304
6.8117466,30.67056
2.9439116,68.11409
25.676277,43.29979
0.7936477,82.67449
5.0900283,54.3609
3.8236833,42.04706
0.74760103,34.71656
0.705532,44.351463
2.2062979,27.868454
1.6658554,67.76923
17.827229,37.47272
16.19695,67.008385
0.73686767,81.70635
24.406513,56.801617
1.6374707,78.32535
423.62326,44.50652
459.68622,37.026306
77.52727,51.858727
145.67221,41.917118
386.29834,37.486073
137.04527,40.73513
141.4171,43.618855
87.78896,43.223732
78.60701,47.494053
421.2789,32.715878
63.891514,56.594307
98.57253,41.187004
17.763977,79.528534
63.277023,72.06971
36.657825,71.19584
134.85751,56.430298
512.49854,32.447327
9.842915,72.40464
71.97232,57.207573
70.56579,61.081932
114.77307,73.10974
54.060833,65.12626
32.593094,68.53222
21.084797,57.237988
7.329238,73.75182
363.9875,51.82455
131.32939,60.392303
64.9267,53.749252
4.3070683,65.92798
33.946274,29.59457
18.464384,75.83953
5.027551,59.386875
8.217497,71.27569
10.962623,58.49338
16.829332,65.60447
12.698867,52.988323
113.41963,54.30185
34.46468,61.608692
376.15164,46.61849
15.684117,84.553345
86.52443,61.25007
20.088228,64.63221
8.947023,49.11647
6.26641,79.5231
99.48977,58.648705
197.65436,58.333332
151.73265,38.04894
11.137352,66.32912
3.8275867,70.95282
10.371911,51.734505
139.84984,56.292244
76.94345,58.198788
75.11199,61.550648
397.5429,38.082253
7.563346,49.795475
39.091515,74.48911
64.51724,74.99278
17.332611,60.134636
441.782,40.808014
69.15536,37.651
214.07536,41.43914
207.07887,53.370106
581.83307,47.14989
115.81604,53.44388
34.673767,62.35803
49.995956,76.612755
202.39368,53.745537
473.63095,53.27173
89.93781,69.06595
156.423,46.04042
62.7882,67.55647
23.175056,72.7398
7.074883,69.35627
24.020187,74.826096
133.37024,50.593697
16.186914,64.22792
17.246729,76.32159
15.61332,74.02597
13.817515,74.867615
9.3899145,67.57322
14.962134,79.62915
3.751497,49.809402
64.8738,47.24679
30.371721,87.29615
165.15698,75.669014
82.28576,76.20494
26.820421,57.51313
16.294691,79.23014
235.70554,39.919556
23.180233,73.90767
15.893244,84.09014
12.566153,53.178318
25.845882,72.07527
39.61834,59.664574
10.810398,44.30471
48.10833,68.011215
9.116905,40.504585
24.997032,64.03033
17.089285,66.99057
84.790016,69.09549
151.59839,76.91446
6.3226075,67.85714
162.31868,43.937103
17.133091,50.20576
31.969011,70.99556
191.48975,79.42276
372.39075,35.22327
5.631398,38.38456
696.1663,14.810088
3.1844058,65.22449
771.9234,56.404488
27.308884,64.6746
31.552242,69.94171
156.61458,71.759766
28.586473,65.82999
110.72822,72.33752
14.938364,66.45607
32.175636,56.942364
36.868317,76.04913
40.34587,87.693375
17.233295,55.944595
987.1364,21.293194
16.74056,68.12125
14.450142,46.538372
109.1701,30.387783
256.0822,48.001316
8.216643,48.063183
3.7133672,84.12844
41.904476,75.93513
20.714638,60.440517
